wl,n,k
1.63,1.5,0
1.635,1.5,0
1.64,1.5,0
1.645,1.5,0
1.65,1.5,0
1.655,1.5,0
1.66,1.5,0
1.665,1.5,0
1.67,1.5,0
1.675,1.5,0
1.68,1.5,0
1.685,1.5,0
1.69,1.5,0
1.695,1.5,0
1.7,1.5,0
1.705,1.5,0
1.71,1.5,0
1.715,1.5,0
1.72,1.5,0
1.725,1.5,0
1.73,1.5,0
1.735,1.5,0
1.74,1.5,0
1.745,1.5,0
1.75,1.5,0
1.755,1.5,0
1.76,1.5,0
1.765,1.5,0
1.77,1.5,0
1.775,1.5,0
1.78,1.5,0
1.785,1.5,0
1.79,1.5,0
1.795,1.5,0
1.8,1.5,0
1.805,1.5,0
1.81,1.5,0
1.815,1.5,0
1.82,1.5,0
1.825,1.5,0
1.83,1.5,0
1.835,1.5,0
1.84,1.5,0
1.845,1.5,0
1.85,1.5,0
1.855,1.5,0
1.86,1.5,0
1.865,1.5,0
1.87,1.5,0
1.875,1.5,0
1.88,1.5,0
1.885,1.5,0
1.89,1.5,0
1.895,1.5,0
1.9,1.5,0
1.905,1.5,0
1.91,1.5,0
1.915,1.5,0
1.92,1.5,0
1.925,1.5,0
1.93,1.5,0
1.935,1.5,0
1.94,1.5,0
1.945,1.5,0
1.95,1.5,0
1.955,1.5,0
1.96,1.5,0
1.965,1.5,0
1.97,1.5,0
1.975,1.5,0
1.98,1.5,0
1.985,1.5,0
1.99,1.5,0
1.995,1.5,0
2,1.5,0
2.005,1.5,0
2.01,1.5,0
2.015,1.5,0
2.02,1.5,0
2.025,1.5,0
2.03,1.5,0
2.035,1.5,0
2.04,1.5,0
2.045,1.5,0
2.05,1.5,0
2.055,1.5,0
2.06,1.5,0
2.065,1.5,0
2.07,1.5,0
2.075,1.5,0
2.08,1.5,0
2.085,1.5,0
2.09,1.5,0
2.095,1.5,0
2.1,1.5,0
2.105,1.5,0
2.11,1.5,0
2.115,1.5,0
2.12,1.5,0
2.125,1.5,0
2.13,1.5,0
2.135,1.5,0
2.14,1.5,0
2.145,1.5,0
2.15,1.5,0
2.155,1.5,0
2.16,1.5,0
2.165,1.5,0
2.17,1.5,0
2.175,1.5,0
2.18,1.5,0
2.185,1.5,0
2.19,1.5,0
2.195,1.5,0
2.2,1.5,0
2.205,1.5,0
2.21,1.5,0
2.215,1.5,0
2.22,1.5,0
2.225,1.5,0
2.23,1.5,0
2.235,1.5,0
2.24,1.5,0
2.245,1.5,0
2.25,1.5,0
2.255,1.5,0
2.26,1.5,0
2.265,1.5,0
2.27,1.5,0
2.275,1.5,0
2.28,1.5,0
2.285,1.5,0
2.29,1.5,0
2.295,1.5,0
2.3,1.5,0
2.305,1.5,0
2.31,1.5,0
2.315,1.5,0
2.32,1.5,0
2.325,1.5,0
2.33,1.5,0
2.335,1.5,0
2.34,1.5,0
2.345,1.5,0
2.35,1.5,0
2.355,1.5,0
2.36,1.5,0
2.365,1.5,0
2.37,1.5,0
2.375,1.5,0
2.38,1.5,0
2.385,1.5,0
2.39,1.5,0
2.395,1.5,0
2.4,1.5,0
2.405,1.5,0
2.41,1.5,0
2.415,1.5,0
2.42,1.5,0
2.425,1.5,0
2.43,1.5,0
2.435,1.5,0
2.44,1.5,0
2.445,1.5,0
2.45,1.5,0
2.455,1.5,0
2.46,1.5,0
2.465,1.5,0
2.47,1.5,0
2.475,1.5,0
2.48,1.5,0
2.485,1.5,0
2.49,1.5,0
2.495,1.5,0
2.5,1.5,0
